cv_krr.g.scale.emma	-3.346303	4.705578	poly	deg=1	a=2.00	g=10	56/280
cv_krr.g.scale.emma	-694.613248	759.278898	poly	deg=2	a=0.01	g=10	63/280
cv_krr.g.scale.emma	-19.447970	9.563500	poly	deg=3	a=0.01	g=10	119/280
cv_krr.g.scale.emma	-13.028303	10.821961	rbf	deg=0	a=2.00	g=10	224/280
cv_krr.g.scale.emma	-1826291.909481	3627438.946677	sigmoid	deg=0	a=0.02	g=10	238/280
cv_krr.p.scale.emma	-68.855840	116.783378	poly	deg=1	a=2.00	g=10	56/280
cv_krr.p.scale.emma	-8134.543429	12108.421255	poly	deg=2	a=0.01	g=10	63/280
cv_krr.p.scale.emma	-57.008135	51.445873	poly	deg=3	a=0.01	g=10	119/280
cv_krr.p.scale.emma	-46.505321	83.047101	rbf	deg=0	a=0.01	g=0.05	170/280
cv_krr.p.scale.emma	-1082972.423200	2152130.394473	sigmoid	deg=0	a=0.05	g=1.0	243/280
cv_svm.g.scale.emma	-1.334820	1.798127	poly	deg=1	C=1.0	e=3.8	g=10	2887/14440
cv_svm.g.scale.emma	-7.481242	6.704539	poly	deg=2	C=1.0	e=0.2	g=10	5631/14440
cv_svm.g.scale.emma	-33.137575	43.281741	poly	deg=3	C=0.1	e=0.2	g=10	5783/14440
cv_svm.g.scale.emma	-0.511681	0.249989	rbf	deg=0	C=0.1	e=0.2	g=0.01	8665/14440
cv_svm.g.scale.emma	-0.511681	0.249989	sigmoid	deg=0	C=0.1	e=0.2	g=0.01	11553/14440
cv_svm.p.scale.emma	-185.784526	241.851788	poly	deg=1	C=0.1	e=0.6	g=0.01	169/14440
cv_svm.p.scale.emma	-185.784526	241.851788	poly	deg=2	C=0.1	e=0.6	g=0.01	2905/14440
cv_svm.p.scale.emma	-185.784526	241.851788	poly	deg=3	C=0.1	e=0.6	g=0.01	5793/14440
cv_svm.p.scale.emma	-185.784526	241.851788	rbf	deg=0	C=0.1	e=0.2	g=0.01	8665/14440
cv_svm.p.scale.emma	-185.784526	241.851788	sigmoid	deg=0	C=0.1	e=0.2	g=0.01	11553/14440
