cv_krr.g.emma	-1.841085	2.706048	poly	deg=1	a=0.01	g=10	7/280
cv_krr.g.emma	-2722.703822	2292.181576	poly	deg=2	a=0.01	g=5	62/280
cv_krr.g.emma	-612.580207	772.126932	poly	deg=3	a=0.01	g=0.1	115/280
cv_krr.g.emma	-13.035640	10.820320	rbf	deg=0	a=2.00	g=10	224/280
cv_krr.g.emma	-0.724561	0.393771	sigmoid	deg=0	a=0.01	g=0.01	225/280
cv_krr.p.emma	-64.295178	106.452530	poly	deg=1	a=0.01	g=10	7/280
cv_krr.p.emma	-47764.095487	90475.334956	poly	deg=2	a=0.01	g=5	62/280
cv_krr.p.emma	-17699.471726	34052.008319	poly	deg=3	a=0.01	g=0.01	113/280
cv_krr.p.emma	-1.120001	0.705175	rbf	deg=0	a=0.01	g=0.01	169/280
cv_krr.p.emma	-38.040679	49.602456	sigmoid	deg=0	a=0.01	g=0.01	225/280
cv_svm.g.emma	-23.352742	37.310495	poly	deg=1	C=0.8	e=0.4	g=10	2295/14440
cv_svm.g.emma	-90090091783651.500000	159249038194464.406250	poly	deg=2	C=0.9	e=0.2	g=10	5479/14440
cv_svm.g.emma	-8559957415368401578308403200.000000	15960041518335312689394352128.000000	poly	deg=3	C=1.0	e=3.2	g=10	8639/14440
cv_svm.g.emma	-0.453710	0.353710	rbf	deg=0	C=0.1	e=0.2	g=0.01	8665/14440
cv_svm.g.emma	-0.453710	0.353710	sigmoid	deg=0	C=0.1	e=0.2	g=0.01	11553/14440
cv_svm.p.emma	-3215.851245	6028.648710	poly	deg=1	C=0.9	e=0.2	g=5	2438/14440
cv_svm.p.emma	-58773943.337207	84833648.841167	poly	deg=2	C=0.6	e=0.2	g=0.1	4563/14440
cv_svm.p.emma	-5688019389847968768.000000	11376038555872286720.000000	poly	deg=3	C=1.0	e=0.2	g=0.1	8515/14440
cv_svm.p.emma	-185.784526	241.851788	rbf	deg=0	C=0.1	e=0.2	g=0.01	8665/14440
cv_svm.p.emma	-185.784526	241.851788	sigmoid	deg=0	C=0.1	e=0.2	g=0.01	11553/14440
