gs_krr.g.scale.emma	9.486362	156.448675	73.670907	12.430302	poly	deg=1	a=2.00	g=0.01	50/280
gs_krr.g.scale.emma	10.522997	181.357035	73.670907	34.178378	poly	deg=2	a=2.00	g=0.01	106/280
gs_krr.g.scale.emma	11.208077	203.302878	73.670907	56.566993	poly	deg=3	a=2.00	g=0.01	162/280
gs_krr.g.scale.emma	9.837744	159.741553	73.670907	23.860278	rbf	deg=0	a=2.00	g=0.01	218/280
gs_krr.g.scale.emma	8.237644	124.419645	73.670907	2.784397	sigmoid	deg=0	a=2.00	g=0.01	274/280
gs_krr.p.scale.emma	0.160480	0.032043	0.016815	0.003703	poly	deg=1	a=2.00	g=0.01	50/280
gs_krr.p.scale.emma	0.159320	0.034953	0.016815	0.009908	poly	deg=2	a=2.00	g=0.01	106/280
gs_krr.p.scale.emma	0.165590	0.038159	0.016815	0.015964	poly	deg=3	a=2.00	g=0.01	162/280
gs_krr.p.scale.emma	0.035885	0.001793	0.016815	0.011118	rbf	deg=0	a=1.00	g=0.5	214/280
gs_krr.p.scale.emma	0.155044	0.034454	0.016815	0.010046	sigmoid	deg=0	a=2.00	g=0.05	275/280
gs_svm.g.scale.emma	10.479634	171.486296	73.670907	1.814469	poly	deg=1	C=0.7	e=3.8	g=0.1	1971/14440
gs_svm.g.scale.emma	9.906789	159.759782	73.670907	10.231403	poly	deg=2	C=0.7	e=2.0	g=0.5	4788/14440
gs_svm.g.scale.emma	10.814525	176.176666	73.670907	0.696722	poly	deg=3	C=0.2	e=3.2	g=scale	6512/14440
gs_svm.g.scale.emma	10.330860	165.515603	73.670907	1.738545	rbf	deg=0	C=1.0	e=3.8	g=0.1	11547/14440
gs_svm.g.scale.emma	9.333268	149.205203	73.670907	2.991033	sigmoid	deg=0	C=0.4	e=3.8	g=10	12615/14440
gs_svm.p.scale.emma	0.170749	0.037435	0.016815	0.003346	poly	deg=1	C=1.0	e=0.2	g=0.01	2737/14440
gs_svm.p.scale.emma	0.135025	0.025181	0.016815	0.038602	poly	deg=2	C=1.0	e=0.2	g=scale	5632/14440
gs_svm.p.scale.emma	0.165743	0.034033	0.016815	0.003010	poly	deg=3	C=0.2	e=0.2	g=0.1	6083/14440
gs_svm.p.scale.emma	0.170897	0.037034	0.016815	0.003014	rbf	deg=0	C=0.5	e=0.2	g=0.01	10033/14440
gs_svm.p.scale.emma	0.152689	0.037298	0.016815	0.026552	sigmoid	deg=0	C=0.6	e=0.2	g=scale	13080/14440
