#nr     conc layr vDOC TDOC vCal TCal nr2   conductivity pinhole_density layers Cal_vel 
2947    4    6   16   80 1080  300	2947     10.95940        0.000000      6      18 
6554    3   10   16   80  120  500	6554     70.64908        0.078431     10       2 
3956    5   10   20   60  360  400	3956     45.50493        0.027780     10       6 
8318    3   12   12   80  840  500	8318     79.39680        0.868420     12      14 
5526    3    6   10   50 1080  400	5526     29.16378        0.020830      6      18 
7374    3   10   14   50  600  500	7374     32.86985        0.000000     10      10 
5648    5    6   10   60 1080  400	5648     51.09902        0.030300      6      18 
6113    2   10   20   40  120  500	6113     24.32170        0.000000     10       2 
2850    3    8   18   70 1080  300	2850     12.38955        0.000000      8      18 
2700    5   12   14   60 1080  300	2700     15.64646        0.038460     12      18 
1462    3    4   12   60  600  300	1462     39.68027        0.125000      4      10 
7201    2    4   10   40  600  500	7201    108.47050        1.000000      4      10 
6101    2    4   20   40  120  500	6101     71.25290        0.956520      4       2 
2883    4    4   10   80 1080  300	2883     46.44359        0.030300      4      18 
1680    5   12   20   70  600  300	1680     49.18166        0.000000     12      10 
1       2    4   10   40  120  300	1        38.79620        0.058820      4       2 
6001    2    4   10   40  120  500	6001     47.17184        0.333330      4       2 
6102    3    4   20   40  120  500	6102     76.44246        1.000000      4       2 
2884    5    4   10   80 1080  300	2884     42.66628        0.000000      4      18 
360     5   12   20   60  120  300	360      47.64474        0.000000     12       2 
1486    3    6   14   60  600  300	1486     28.56022        0.000000      6      10 
4202    3    4   10   40  600  400	4202     61.73920        0.387100      4      10 
6105    2    6   20   40  120  500	6105     52.13835        0.035710      6       2 
2923    4    4   14   80 1080  300	2923     52.18121        0.090910      4      18 
1500    5   12   14   60  600  300	1500     47.53164        0.000000     12      10 
2971    4    8   18   80 1080  300	 
2530    3    8   10   50 1080  300	 
3077    2   12   16   40  120  400	 
2733    2   10   18   60 1080  300	 
2535    4   10   10   50 1080  300	
