#Index	X	Acquisition
0	-2.81232614386501	6
1	-2.78350594966904	19
2	-2.75468575547306	41
3	-2.72586556127708	23
4	-2.6970453670811	33
5	-2.66822517288512	32
6	-2.63940497868915	28
7	-2.61058478449317	47
8	-2.58176459029719	45
9	-2.55294439610121	36
10	-2.52412420190523	38
11	-2.49530400770925	39
12	-2.46648381351328	36
13	-2.4376636193173	24
14	-2.40884342512132	36
15	-2.38002323092534	42
16	-2.35120303672936	36
17	-2.32238284253339	40
18	-2.29356264833741	35
19	-2.26474245414143	25
20	-2.23592225994545	31
21	-2.20710206574947	38
22	-2.1782818715535	33
23	-2.14946167735752	38
24	-2.12064148316154	27
25	-2.09182128896556	36
26	-2.06300109476958	31
27	-2.03418090057361	38
28	-2.00536070637763	28
29	-1.97654051218165	28
30	-1.94772031798567	48
31	-1.91890012378969	33
32	-1.89007992959371	40
33	-1.86125973539774	45
34	-1.83243954120176	37
35	-1.80361934700578	22
36	-1.7747991528098	36
37	-1.74597895861382	39
38	-1.71715876441785	39
39	-1.68833857022187	31
40	-1.65951837602589	27
41	-1.63069818182991	34
42	-1.60187798763393	27
43	-1.57305779343796	36
44	-1.54423759924198	27
45	-1.515417405046	32
46	-1.48659721085002	36
47	-1.45777701665404	32
48	-1.42895682245807	35
49	-1.40013662826209	31
50	-1.37131643406611	40
51	-1.34249623987013	33
52	-1.31367604567415	37
53	-1.28485585147817	36
54	-1.2560356572822	29
55	-1.22721546308622	38
56	-1.19839526889024	39
57	-1.16957507469426	36
58	-1.14075488049828	31
59	-1.11193468630231	41
60	-1.08311449210633	32
61	-1.05429429791035	36
62	-1.02547410371437	33
63	-0.996653909518394	31
64	-0.967833715322416	35
65	-0.939013521126438	41
66	-0.910193326930459	39
67	-0.881373132734481	33
68	-0.852552938538503	44
69	-0.823732744342525	25
70	-0.794912550146547	46
71	-0.766092355950569	42
72	-0.737272161754591	39
73	-0.708451967558613	33
74	-0.679631773362635	24
75	-0.650811579166657	51
76	-0.621991384970679	39
77	-0.5931711907747	33
78	-0.564350996578722	36
79	-0.535530802382744	34
80	-0.506710608186766	21
81	-0.477890413990788	35
82	-0.44907021979481	36
83	-0.420250025598832	35
84	-0.391429831402853	46
85	-0.362609637206876	21
86	-0.333789443010898	34
87	-0.30496924881492	44
88	-0.276149054618941	35
89	-0.247328860422963	36
90	-0.218508666226985	37
91	-0.189688472031007	32
92	-0.160868277835029	31
93	-0.132048083639051	40
94	-0.103227889443073	40
95	-0.0744076952470945	42
96	-0.0455875010511164	31
97	-0.0167673068551383	33
98	0.0120528873752517	29
99	0.0408730829026909	33
100	0.0696932825246999	38
101	0.0985134891354989	31
102	0.12733370562931	34
103	0.156153934900352	40
104	0.184974179842847	35
105	0.213794443351015	37
106	0.242614728319078	36
107	0.271435037641255	29
108	0.300255374211767	22
109	0.329075740924835	33
110	0.35789614067468	41
111	0.386716576355523	46
