#T [°C]	t [min] HP1		NT1		NT2		NT3		NT4		NT5		NT6
0		0		0		0		0		0		0		0		0
80		10		05		05		5		5		5		5		5
80		10		15		15		15		15		15		15		15
100		10		20												
100		10		30												
150		5		35												
150		5		40		55		-		-		-		-		-		40		28.3	17.5	17.5	75
160		5		45												
160		5		50												
170		5		55												
170		5		60												
180		5		65												
180		5		70													
190		5		75												
190		5		80												
200		10		85		100		-		-		-		-		-		65		45		30		30		125		
200		10		95													
250		10		100												
250		10		110												
300		10		115												
300		10		125												
350		10		130												
350		10		140												
400		60		145		200		175		121.6	95		-		335
400		60		205		260		235		181.6	155		-		395
500		-		-		-		-		-		-		120			
500		-		-		-		-		-		-		180			
